tarih,gun,corba,ana_yemek,pilav_makarna,tatli,salata,ek_bilgi
2025-08-01,Cuma,Tandır Çorba,"Kabak Mücver (domates,biber)",Soslu Makarna,İrmik Helvası,Yoğurt,
2025-08-04,Pazartesi,Tavuk Suyu Çorba,Nohut Yemeği,Şehriyeli Pirinç Pilavı,,Çoban Salata,
2025-08-05,Salı,Mercimek Çorba,Etli Yaz Türlüsü,Pirinç Pilavı,,Meyve,
2025-08-06,Çarşamba,Yayla Çorba,Patlıcanlı Fırın Köfte,Bulgur Pilavı,Trileçe,,
2025-08-07,Perşembe,Kremalı Mantar Çorba,Ankara Tava,Ispanak Kavurma,Komposto,Mıs. Pancar Salata,
2025-08-08,Cuma,Ezogelin Çorba,Tavuk Döner / Elma Dilim Patates,Fesleğen Soslu Makarna,Muzlu Keşkül,Ayran,
2025-08-11,Pazartesi,Mercimek Çorba,Çoban Kavurma,Mısırlı Pirinç Pilavı,,Yoğurt,
2025-08-12,Salı,Brokoli Çorba,Adana Köfte (lavaş),Şehriyeli Bulgur Pilavı,Kakaolu Puding,Cacık,
2025-08-13,Çarşamba,Şehriye Çorba,Meksika Soslu Tavuk,Pirinç Pilavı,,Çoban Salata,
2025-08-14,Perşembe,Köz Biber Çorba,Patlıcan Musakka,Şehriye Pilavı,Tiramisu,Yoğurtlu Semizotu Salata,
2025-08-15,Cuma,Düğün Çorba,Taze Fasulye,Patatesli Kol Böreği,,Meyve,
2025-08-18,Pazartesi,Mercimek Çorba,Kekikli Fırın Tavuk Pirzola,Soslu Makarna,,Biber Borani,
2025-08-19,Salı,Kru. Domates Çorba,Macar Gulaş,Şehriyeli Pirinç Pilavı,,Mevsim salata,
2025-08-20,Çarşamba,Yoğurt Çorba,Sebze Şöleni,Şehriye Pilavı,Komposto,,
2025-08-21,Perşembe,Mahluta Çorba,Köfteli Avcı Kebabı,Pirinç Pilavı,,Cacık,
2025-08-22,Cuma,Saray Çorba,Patates Oturtma,Erişte,,Meyve,
2025-08-25,Pazartesi,Arabaşı Çorba,Karnabahar Pane (yoğurt),Soslu Makarna,Baklava,Mercimek Salata,
2025-08-26,Salı,Mercimek Çorba,Hünkar Beğendi,Şeh. Pirinç Pilavı,,Piyaz,
2025-08-27,Çarşamba,Ayranaşı Çorba,Soslu Köfte(Patates Kzt),Bulgur Pilavı,Muhallebili Kemalpaşa,,
2025-08-28,Perşembe,Ezogelin Çorba,Yufkalı Tavuk Sarma,Şakşuka,,Meyve,
2025-08-29,Cuma,Sebze Çorba,Karışık Dolma (yoğurt),Peynirli Gül Böreği,Komposto,,
2025-09-01,Pazartesi,Yayla Çorba,Tavuk Şiş ( Elma Dili Patates),Şehriyeli Bulgur Pilavı,,Meyve ( Üzüm),
2025-09-02,Salı,Mahluta Çorba,İzmir Köfte,Şeh. Pirinç Pilavı,,Mıs. Iceberg Salata,
2025-09-03,Çarşamba,Alaca Çorba,Zyt.Taze Fasulye,Pilav Üstü Dana Tandır,,Ayran,
2025-09-04,Perşembe,Tarhana Çorba,Sebze Graten,Erişte,Soğuk Baklava,,
2025-09-05,Cuma,Mercimek Çorba,Etli Nohut,Hav. Pirinç Pilavı,,Kabak Tarator,
2025-09-08,Pazartesi,Domates Çorba,Lavaşlı Et Tantuni,Şeh. Pirinç Pilavı,,Ayran,
2025-09-09,Salı,Mercimek Çorba,Hasanpaşa Köfte (Püreli),Bulgur Pilavı,,Meyve (üzüm),
2025-09-10,Çarşamba,Toyga Çorba,Kremalı Köri Soslu Tavuk,Soslu Makarna,,Karışık Salata,
2025-09-11,Perşembe,Ezogelin Çorba,Karnıyarık,Pirinç Pilavı,Ekler,,
2025-09-12,Cuma,Lebeniye Çorba,Bezelye Yemeği,Şehriye Pilavı,Pembe Sultan,,
2025-09-15,Pazartesi,Hanımağa Çorba,Tavuk Büryan,Zyt. Bamya,Soslu Brownie,,
2025-09-16,Salı,Tavuk Çorba,Mevsim Türlü,Fırın Makarna,,Meyve (kavun),
2025-09-17,Çarşamba,Mercimek Çorba,Beğendili Misket Köfte,Şehriyeli Pirinç Pilavı,,Çoban Salata,
2025-09-18,Perşembe,Yeşil Mercimek Çorba,Kıymalı Biber Dolma (Yoğurt),Su Böreği,Kayısı / Üzüm Komposto,,
2025-09-19,Cuma,Mahluta Çorba,Et Sote,Bulgur Pilavı,,Cacık,
2025-09-22,Pazartesi,Ayranaşı Çorba,Taze Fasulye,Şeh. Pirinç Pilavı,Trileçe,,
2025-09-23,Salı,Ezogelin Çorba,Tavuk Fajıta,Soslu Makarna,,Çoban Salata,
2025-09-24,Çarşamba,Kremalı Mantar Çorba,İslim Köfte,Mısırlı Pirinç Pilavı,,Yoğ. Semizotu Salata,
2025-09-25,Perşembe,Domates Çorba,Çiftlik Kebabı,İç Pilav,,Ayran,
2025-09-26,Cuma,Mercimek Çorba,Patates Oturtma,Bulgur Pilavı,,Meyve (üzüm),
2025-09-29,Pazartesi,Mahluta Çorba,Kuru Fasulye,Şehriyeli Pirinç Pilavı,,Mevsim salata,
2025-09-30,Salı,Kru. Domates Çorba,Hamburger (Patates Kızartması),Soslu Makarna,,Ayran,
2025-10-01,Çarşamba,Yoğurt Çorba,Izgara Tavuk Kanat / Elma Dilim Patates,Dom. Bulgur Pilavı,,Çoban Salata,
