yemek_adi,porsiyon_gram,kalori,protein_g,karbonhidrat_g,yag_g,lif_g
Adana Köfte (lavaş),250,325,24.4,24.4,14.4,2.4
Akdeniz Usulü Ispanak,250,345,25.9,25.9,15.3,2.6
Alaca Çorba,250,238,8.9,32.7,7.9,3.3
Anadolu Çorba,250,169,6.3,23.3,5.6,2.3
Ankara Tava,250,382,28.6,28.6,17.0,2.9
Arabaşı Çorba,250,186,7.0,25.6,6.2,2.6
Arnavut Ciğer /May. Roka Soğan Söğüş,250,377,28.3,28.3,16.8,2.8
Ayran,200,152,5.7,22.8,4.2,2.3
Ayranaşı Çorba,250,218,8.2,30.0,7.3,3.0
Babagannuş,250,117,8.8,8.8,5.2,0.9
Bahçıvan Kebabı,250,303,22.7,22.7,13.5,2.3
Baklava,150,428,5.4,69.5,14.3,7.0
Balbadem Tatlısı,150,446,5.6,72.5,14.9,7.2
Barbekü Soslu Tavuk,250,368,27.6,27.6,16.4,2.8
Bezelye Yemeği,250,294,22.1,22.1,13.1,2.2
Beğendili Misket Köfte,250,393,29.5,29.5,17.5,3.0
Beşamelli Fırın Patates,250,303,22.7,22.7,13.5,2.3
Biber Borani,150,136,3.4,17.0,6.0,1.7
Bolonez Soslu Makarna,200,329,8.2,57.6,7.3,5.8
Brokoli Çorba,250,206,7.7,28.3,6.9,2.8
Brownie,150,422,5.3,68.6,14.1,6.9
Bulgur Pilavı,200,229,5.7,40.1,5.1,4.0
Bulgur pilavı,200,229,5.7,40.1,5.1,4.0
Cacık,150,128,3.2,16.0,5.7,1.6
Cevizli Baklava,150,428,5.4,69.5,14.3,7.0
Cevizli Erişte,200,287,7.2,50.2,6.4,5.0
Cevizli Kabak Tatlısı,150,489,6.1,79.5,16.3,8.0
Cevizli Kalburabastı,150,492,6.2,80.0,16.4,8.0
Coleslow Salata,150,167,4.2,20.9,7.4,2.1
Dana Navarin,250,386,28.9,28.9,17.2,2.9
Dom. Bulgur Pilavı,200,229,5.7,40.1,5.1,4.0
Domates Çorba,250,183,6.9,25.2,6.1,2.5
Dürüm Tavuk Tantuni,250,415,31.1,31.1,18.4,3.1
Düğün Çorba,250,154,5.8,21.2,5.1,2.1
Ekler,150,348,4.4,56.6,11.6,5.7
Ekmek arası Balık/Soğan Söğüş,250,470,35.2,35.2,20.9,3.5
Elbasan Tava,250,324,24.3,24.3,14.4,2.4
Elma,150,80,1.0,17.0,0.9,1.7
Erişte,200,269,6.7,47.1,6.0,4.7
