                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1713,                 0.5248,                0.79069,                 4.2279,               0.080204,             0.00019996,             0.00019996
                      2,                 2.0825,                0.66916,                 0.8848,                 4.0809,               0.060404,             0.00039986,             0.00039986
                      3,                 1.7248,                0.73936,                0.91896,                 3.9847,               0.040603,             0.00059937,             0.00059937
                      4,                 1.5141,                0.76198,                0.93119,                 3.9482,               0.020802,              0.0007982,              0.0007982
                      5,                 1.3676,                0.78762,                0.93876,                 3.9196,                  0.001,             0.00099606,             0.00099606
                      6,                  1.246,                0.79812,                0.94302,                 3.9018,             0.00099391,             0.00099391,             0.00099391
                      7,                  1.145,                0.80545,                0.94703,                 3.8896,             0.00099123,             0.00099123,             0.00099123
                      8,                 1.0688,                0.81144,                0.94955,                 3.8802,             0.00098808,             0.00098808,             0.00098808
                      9,                 1.0124,                0.81554,                0.95099,                 3.8737,             0.00098445,             0.00098445,             0.00098445
                     10,                0.95429,                 0.8197,                0.95183,                 3.8681,             0.00098035,             0.00098035,             0.00098035
                     11,                0.90571,                0.82238,                0.95282,                 3.8649,             0.00097577,             0.00097577,             0.00097577
                     12,                0.87305,                0.82366,                0.95312,                 3.8622,             0.00097074,             0.00097074,             0.00097074
                     13,                0.83461,                0.82624,                0.95322,                 3.8591,             0.00096524,             0.00096524,             0.00096524
                     14,                0.79588,                0.82817,                0.95406,                 3.8569,             0.00095929,             0.00095929,             0.00095929
                     15,                0.76742,                0.82936,                 0.9545,                 3.8545,             0.00095289,             0.00095289,             0.00095289
                     16,                0.73407,                 0.8303,                 0.9547,                 3.8525,             0.00094605,             0.00094605,             0.00094605
                     17,                 0.7085,                0.83124,                0.95554,                 3.8504,             0.00093877,             0.00093877,             0.00093877
                     18,                0.68545,                0.83292,                 0.9555,                 3.8477,             0.00093107,             0.00093107,             0.00093107
                     19,                0.66568,                0.83386,                0.95644,                 3.8457,             0.00092294,             0.00092294,             0.00092294
                     20,                0.63994,                0.83421,                0.95624,                 3.8433,              0.0009144,              0.0009144,              0.0009144
                     21,                0.61369,                0.83495,                0.95673,                 3.8411,             0.00090546,             0.00090546,             0.00090546
                     22,                0.59316,                0.83653,                0.95713,                 3.8388,             0.00089613,             0.00089613,             0.00089613
                     23,                0.57046,                0.83886,                0.95782,                 3.8361,              0.0008864,              0.0008864,              0.0008864
                     24,                0.54309,                0.83995,                0.95817,                 3.8337,              0.0008763,              0.0008763,              0.0008763
                     25,                0.53401,                0.84119,                0.95856,                 3.8311,             0.00086584,             0.00086584,             0.00086584
                     26,                0.51622,                0.84307,                0.95911,                 3.8291,             0.00085502,             0.00085502,             0.00085502
                     27,                0.49618,                0.84376,                0.95965,                 3.8268,             0.00084385,             0.00084385,             0.00084385
                     28,                 0.4822,                0.84554,                 0.9599,                 3.8244,             0.00083235,             0.00083235,             0.00083235
                     29,                0.45894,                0.84604,                0.96005,                 3.8222,             0.00082052,             0.00082052,             0.00082052
                     30,                0.44291,                0.84713,                0.96069,                 3.8205,             0.00080839,             0.00080839,             0.00080839
                     31,                0.43353,                0.84802,                0.96054,                 3.8181,             0.00079595,             0.00079595,             0.00079595
                     32,                0.41703,                0.84842,                0.96084,                 3.8161,             0.00078323,             0.00078323,             0.00078323
                     33,                0.39784,                0.84921,                0.96114,                 3.8145,             0.00077023,             0.00077023,             0.00077023
                     34,                0.38353,                   0.85,                0.96109,                 3.8128,             0.00075698,             0.00075698,             0.00075698
                     35,                 0.3767,                0.85074,                0.96153,                 3.8114,             0.00074347,             0.00074347,             0.00074347
