                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2832,                0.46773,                0.77479,                 4.2952,               0.080204,             0.00019996,             0.00019996
                      2,                 2.0842,                 0.6698,                0.90302,                 4.0808,               0.060206,             0.00020198,             0.00020198
                      1,                  3.061,                0.49649,                0.79965,                 4.2841,               0.080209,             0.00019991,             0.00019991
                      2,                 1.8778,                0.66245,                0.90269,                 4.0849,               0.060408,             0.00039982,             0.00039982
                      3,                  1.522,                0.72797,                0.92659,                 3.9937,               0.040608,             0.00059933,             0.00059933
                      4,                 1.3096,                0.76938,                0.94637,                  3.943,               0.020807,             0.00079816,             0.00079816
                      5,                 1.1475,                0.80549,                0.95589,                  3.896,              0.0010047,             0.00099601,             0.00099601
                      6,                 1.0332,                0.81836,                0.95762,                 3.8812,             0.00099391,             0.00099391,             0.00099391
                      7,                0.91683,                0.83879,                0.96692,                 3.8532,             0.00099123,             0.00099123,             0.00099123
                      8,                0.83742,                0.84182,                0.96616,                  3.845,             0.00098808,             0.00098808,             0.00098808
                      9,                 0.7726,                0.85544,                0.97156,                 3.8266,             0.00098445,             0.00098445,             0.00098445
                     10,                0.71542,                0.86636,                0.97329,                 3.8159,             0.00098035,             0.00098035,             0.00098035
                     11,                0.66995,                0.87188,                0.97351,                 3.8106,             0.00097577,             0.00097577,             0.00097577
                     12,                0.63083,                0.87491,                0.97481,                 3.8007,             0.00097074,             0.00097074,             0.00097074
                     13,                0.60708,                 0.8802,                0.97502,                 3.7962,             0.00096524,             0.00096524,             0.00096524
                     14,                0.56607,                0.88031,                  0.976,                 3.7916,             0.00095929,             0.00095929,             0.00095929
                     15,                0.54498,                 0.8868,                0.97611,                 3.7857,             0.00095289,             0.00095289,             0.00095289
                     16,                 0.5146,                0.88712,                0.97751,                 3.7812,             0.00094605,             0.00094605,             0.00094605
                     17,                0.49261,                 0.8855,                0.97654,                 3.7796,             0.00093877,             0.00093877,             0.00093877
                     18,                 0.4715,                0.88874,                0.97643,                 3.7772,             0.00093107,             0.00093107,             0.00093107
                     19,                0.44814,                0.88939,                0.97697,                 3.7743,             0.00092294,             0.00092294,             0.00092294
                     20,                 0.4301,                0.89123,                0.97805,                 3.7714,              0.0009144,              0.0009144,              0.0009144
                     21,                0.41157,                0.89404,                0.97902,                 3.7695,             0.00090546,             0.00090546,             0.00090546
                     22,                0.38958,                0.89426,                 0.9787,                 3.7682,             0.00089613,             0.00089613,             0.00089613
                     23,                0.37405,                0.89599,                0.97816,                 3.7662,              0.0008864,              0.0008864,              0.0008864
                     24,                0.35407,                0.89718,                 0.9787,                  3.765,              0.0008763,              0.0008763,              0.0008763
                     25,                0.34251,                0.89815,                0.97805,                 3.7637,             0.00086584,             0.00086584,             0.00086584
                     26,                0.32926,                0.89793,                0.97794,                 3.7631,             0.00085502,             0.00085502,             0.00085502
                     27,                0.31687,                0.89837,                0.97773,                  3.762,             0.00084385,             0.00084385,             0.00084385
                     28,                  0.305,                0.89869,                0.97827,                 3.7611,             0.00083235,             0.00083235,             0.00083235
                     29,                0.29735,                0.89945,                0.97838,                 3.7604,             0.00082052,             0.00082052,             0.00082052
                     30,                0.28271,                0.89945,                0.97892,                 3.7598,             0.00080839,             0.00080839,             0.00080839
                     31,                0.27044,                0.89966,                 0.9787,                 3.7611,             0.00079595,             0.00079595,             0.00079595
                     32,                 0.2575,                0.89988,                0.97859,                  3.759,             0.00078323,             0.00078323,             0.00078323
                     33,                0.25297,                0.89999,                0.97848,                 3.7615,             0.00077023,             0.00077023,             0.00077023
                     34,                0.24755,                0.90021,                0.97892,                  3.758,             0.00075698,             0.00075698,             0.00075698
                     35,                0.23364,                 0.9001,                0.97924,                 3.7575,             0.00074347,             0.00074347,             0.00074347
                     36,                 0.2198,                0.90042,                0.97881,                 3.7569,             0.00072973,             0.00072973,             0.00072973
                     37,                0.22223,                0.90107,                0.97892,                 3.7566,             0.00071576,             0.00071576,             0.00071576
                     38,                0.21155,                0.90064,                0.97892,                 3.7561,             0.00070159,             0.00070159,             0.00070159
                     39,                0.20093,                0.90118,                0.97859,                 3.7556,             0.00068722,             0.00068722,             0.00068722
                     40,                0.18995,                 0.9015,                0.97881,                 3.7551,             0.00067268,             0.00067268,             0.00067268
                     41,                0.18148,                0.90194,                0.97816,                 3.7549,             0.00065796,             0.00065796,             0.00065796
                     42,                0.18005,                0.90226,                0.97794,                 3.7544,              0.0006431,              0.0006431,              0.0006431
                     43,                0.17224,                 0.9028,                0.97827,                 3.7539,              0.0006281,              0.0006281,              0.0006281
                     44,                0.16507,                0.90248,                0.97859,                 3.7544,             0.00061298,             0.00061298,             0.00061298
                     45,                0.16034,                0.90204,                0.97848,                 3.7532,             0.00059775,             0.00059775,             0.00059775
                     46,                0.14931,                0.90248,                0.97827,                 3.7527,             0.00058244,             0.00058244,             0.00058244
                     47,                0.14699,                0.90269,                0.97827,                 3.7524,             0.00056704,             0.00056704,             0.00056704
                     48,                0.14699,                0.90237,                0.97827,                 3.7521,             0.00055158,             0.00055158,             0.00055158
                     49,                0.13639,                0.90226,                 0.9787,                 3.7516,             0.00053608,             0.00053608,             0.00053608
                     50,                0.13706,                 0.9028,                0.97859,                 3.7523,             0.00052055,             0.00052055,             0.00052055
                     51,                0.12411,                0.90183,                0.97859,                 3.7508,               0.000505,               0.000505,               0.000505
                     52,                0.12548,                0.90204,                 0.9787,                 3.7505,             0.00048945,             0.00048945,             0.00048945
                     53,                0.12306,                0.90248,                0.97892,                 3.7502,             0.00047392,             0.00047392,             0.00047392
                     54,                0.11976,                0.90215,                 0.9787,                 3.7498,             0.00045842,             0.00045842,             0.00045842
                     55,                0.10651,                 0.9028,                0.97859,                 3.7493,             0.00044296,             0.00044296,             0.00044296
                     56,                0.10379,                0.90291,                0.97859,                 3.7503,             0.00042756,             0.00042756,             0.00042756
                     57,                0.10373,                0.90269,                0.97816,                 3.7486,             0.00041225,             0.00041225,             0.00041225
                     58,                  0.099,                0.90334,                0.97794,                 3.7481,             0.00039702,             0.00039702,             0.00039702
                     59,                0.09025,                0.90367,                0.97784,                 3.7512,              0.0003819,              0.0003819,              0.0003819
                     60,                0.08834,                0.90453,                0.97794,                 3.7474,              0.0003669,              0.0003669,              0.0003669
                     61,                 0.0891,                0.90485,                0.97784,                 3.7471,             0.00035204,             0.00035204,             0.00035204
                     62,                0.08519,                 0.9054,                0.97816,                 3.7467,             0.00033732,             0.00033732,             0.00033732
                     63,                0.08126,                0.90626,                0.97784,                 3.7463,             0.00032278,             0.00032278,             0.00032278
                     64,                0.07895,                0.90669,                0.97794,                  3.746,             0.00030841,             0.00030841,             0.00030841
                     65,                0.07333,                0.90648,                0.97794,                 3.7485,             0.00029424,             0.00029424,             0.00029424
                     66,                0.07244,                0.90756,                0.97816,                 3.7469,             0.00028027,             0.00028027,             0.00028027
                     67,                0.07027,                0.90777,                0.97794,                 3.7455,             0.00026653,             0.00026653,             0.00026653
                     68,                0.06914,                0.90648,                0.97784,                 3.7452,             0.00025302,             0.00025302,             0.00025302
                     69,                0.06539,                 0.9068,                0.97773,                 3.7451,             0.00023977,             0.00023977,             0.00023977
                     70,                0.06379,                0.90648,                0.97751,                 3.7449,             0.00022677,             0.00022677,             0.00022677
                     71,                0.06231,                0.90637,                0.97794,                 3.7459,             0.00021405,             0.00021405,             0.00021405
                     72,                0.05798,                0.90637,                0.97751,                 3.7477,             0.00020161,             0.00020161,             0.00020161
